,repository_name,language
0,,
1,Java,Java
2,TypeScript,TypeScript
3,Python,Python
4,Swift,Swift
5,C++,C++
6,,
7,Starlark,Starlark
8,Python,Python
9,Swift,Swift
10,C++,C++
11,Python,Python
12,Java,Java
13,HTML,HTML
14,Python,Python
15,Python,Python
16,Python,Python
17,C,C
18,C++,C++
19,Python,Python
20,Python,Python
21,Python,Python
22,Swift,Swift
23,Go,Go
24,Swift,Swift
25,Swift,Swift
26,Python,Python
27,Python,Python
28,C++,C++
29,Python,Python
30,Jupyter Notebook,Jupyter Notebook
31,C,C
32,C,C
33,C,C
34,C,C
35,,
36,Python,Python
37,HTML,HTML
38,Python,Python
39,Go,Go
40,TypeScript,TypeScript
41,Swift,Swift
42,Swift,Swift
43,Swift,Swift
44,C++,C++
45,C,C
46,Python,Python
47,,
48,Jupyter Notebook,Jupyter Notebook
49,JavaScript,JavaScript
50,Ruby,Ruby
51,C,C
52,Python,Python
53,Python,Python
54,,
55,C++,C++
56,C++,C++
57,TypeScript,TypeScript
58,C++,C++
59,Python,Python
60,Python,Python
61,Python,Python
62,Python,Python
63,Python,Python
64,Jupyter Notebook,Jupyter Notebook
65,Python,Python
66,Python,Python
67,Python,Python
68,Python,Python
69,Python,Python
70,Python,Python
71,Python,Python
72,Python,Python
73,Jupyter Notebook,Jupyter Notebook
74,Python,Python
75,Python,Python
76,Python,Python
77,Python,Python
78,,
79,Python,Python
80,Python,Python
81,Python,Python
82,Jupyter Notebook,Jupyter Notebook
83,Python,Python
84,Python,Python
85,Python,Python
86,Python,Python
87,,
88,Python,Python
89,Swift,Swift
90,Python,Python
91,Python,Python
92,Python,Python
93,Python,Python
94,R,R
95,Python,Python
96,Python,Python
97,Python,Python
98,Python,Python
99,Python,Python
100,Python,Python
101,Python,Python
102,Python,Python
103,,
104,Python,Python
105,Python,Python
106,Python,Python
107,Python,Python
108,HTML,HTML
109,Python,Python
110,Python,Python
111,Python,Python
112,Jupyter Notebook,Jupyter Notebook
113,Python,Python
114,Python,Python
115,Python,Python
116,Python,Python
117,Python,Python
118,Python,Python
119,Python,Python
120,Python,Python
