,repository_name,language
0,,
1,Python,Python
2,Python,Python
3,Kotlin,Kotlin
4,HTML,HTML
5,Python,Python
6,C++,C++
7,Java,Java
8,Java,Java
9,Java,Java
10,,
11,,
12,,
13,,
14,Java,Java
15,Java,Java
16,Shell,Shell
17,Python,Python
18,TypeScript,TypeScript
19,Python,Python
20,,
21,Java,Java
22,Java,Java
23,Scala,Scala
24,Java,Java
25,,
26,JavaScript,JavaScript
27,Python,Python
28,Java,Java
29,Python,Python
30,Java,Java
31,,
32,,
33,Python,Python
34,Python,Python
35,,
36,C,C
37,Python,Python
38,Python,Python
39,Python,Python
40,Java,Java
41,Java,Java
42,Python,Python
43,Python,Python
44,PHP,PHP
45,Rust,Rust
46,Kotlin,Kotlin
47,TypeScript,TypeScript
48,C#,C#
49,Dart,Dart
50,Go,Go
51,Java,Java
52,TypeScript,TypeScript
53,Python,Python
54,Rust,Rust
55,Swift,Swift
56,Python,Python
57,Smarty,Smarty
58,Go,Go
59,HTML,HTML
60,Python,Python
61,Java,Java
62,Java,Java
63,Java,Java
64,Python,Python
65,Java,Java
66,Java,Java
67,Java,Java
68,Java,Java
69,Python,Python
70,Java,Java
71,Shell,Shell
72,Python,Python
73,Swift,Swift
74,Java,Java
75,Java,Java
76,,
77,Go,Go
78,Shell,Shell
79,Java,Java
80,Shell,Shell
81,Shell,Shell
82,Java,Java
83,Python,Python
84,Java,Java
85,Emacs Lisp,Emacs Lisp
86,Python,Python
87,Python,Python
88,,
89,Ruby,Ruby
90,C++,C++
91,Java,Java
92,Java,Java
93,Scala,Scala
94,JavaScript,JavaScript
95,Go,Go
96,Scala,Scala
97,Java,Java
98,Java,Java
99,Java,Java
100,Ruby,Ruby
101,Java,Java
102,,
103,Go,Go
104,Java,Java
105,Java,Java
106,Go,Go
107,Java,Java
108,Java,Java
109,,
110,Java,Java
111,Java,Java
112,Python,Python
113,HCL,HCL
114,Python,Python
115,Scala,Scala
116,Python,Python
117,Python,Python
118,Shell,Shell
119,Java,Java
120,Java,Java
121,Python,Python
122,Python,Python
123,Python,Python
124,Python,Python
125,Python,Python
126,Python,Python
127,Java,Java
128,Java,Java
129,Java,Java
130,Go,Go
131,Java,Java
132,Java,Java
133,Go,Go
134,Java,Java
135,Ruby,Ruby
136,Scala,Scala
137,Objective-C,Objective-C
138,JavaScript,JavaScript
139,Java,Java
140,Scala,Scala
141,Jupyter Notebook,Jupyter Notebook
142,Swift,Swift
143,Shell,Shell
144,Objective-C,Objective-C
145,,
146,Java,Java
147,Java,Java
148,Java,Java
149,Groovy,Groovy
150,Java,Java
151,C++,C++
152,JavaScript,JavaScript
153,Scala,Scala
154,Java,Java
155,,
156,Python,Python
157,Python,Python
158,TypeScript,TypeScript
159,Scala,Scala
160,JavaScript,JavaScript
161,C,C
162,Java,Java
163,Python,Python
164,Clojure,Clojure
165,,
166,Scala,Scala
167,Java,Java
168,Java,Java
169,Python,Python
170,Java,Java
171,Java,Java
172,Swift,Swift
173,Ruby,Ruby
174,Java,Java
175,Java,Java
176,Scala,Scala
177,Python,Python
178,Kotlin,Kotlin
179,Swift,Swift
180,C++,C++
181,C,C
182,C,C
183,JavaScript,JavaScript
184,,
185,TypeScript,TypeScript
186,Python,Python
187,TypeScript,TypeScript
188,TypeScript,TypeScript
189,Java,Java
190,Puppet,Puppet
191,Python,Python
192,Python,Python
193,Python,Python
194,Python,Python
195,Python,Python
196,Python,Python
197,JavaScript,JavaScript
198,Scala,Scala
199,Objective-C,Objective-C
200,JavaScript,JavaScript
201,Python,Python
202,JavaScript,JavaScript
203,Python,Python
204,Java,Java
205,Ruby,Ruby
206,Ruby,Ruby
207,Kotlin,Kotlin
208,Java,Java
209,Go,Go
210,Python,Python
211,Scala,Scala
212,Scala,Scala
213,Scala,Scala
214,Scala,Scala
215,Shell,Shell
216,Java,Java
217,JavaScript,JavaScript
218,Python,Python
219,Java,Java
220,,
221,Python,Python
222,Python,Python
223,TypeScript,TypeScript
224,TypeScript,TypeScript
225,Swift,Swift
226,Scala,Scala
227,C,C
228,Java,Java
229,Python,Python
230,Java,Java
231,,
232,TypeScript,TypeScript
233,JavaScript,JavaScript
234,C++,C++
235,Python,Python
236,TypeScript,TypeScript
237,JavaScript,JavaScript
238,HTML,HTML
239,Swift,Swift
240,Scala,Scala
241,Objective-C,Objective-C
242,Objective-C,Objective-C
243,Objective-C,Objective-C
244,Java,Java
245,Python,Python
246,Kotlin,Kotlin
247,Java,Java
248,Java,Java
249,Java,Java
250,Python,Python
251,,
252,Go,Go
253,Go,Go
254,Ruby,Ruby
255,Go,Go
256,HCL,HCL
257,HCL,HCL
258,HCL,HCL
259,Python,Python
260,Scala,Scala
261,Scala,Scala
262,Python,Python
263,JavaScript,JavaScript
264,Java,Java
265,TypeScript,TypeScript
266,Ruby,Ruby
267,,
268,Python,Python
269,Java,Java
270,Python,Python
271,JavaScript,JavaScript
272,,
273,Go,Go
274,C++,C++
275,Java,Java
276,RAML,RAML
277,HTML,HTML
278,JavaScript,JavaScript
279,,
280,TypeScript,TypeScript
281,TypeScript,TypeScript
282,Swift,Swift
283,Swift,Swift
284,Java,Java
